Aymara,Español,
Aski urukïpan kullaka,Buen día hermana,
Aski urukïpanay kullaka,Buen día hermana,
Kamisaki?,¿Cómo estás?,
Waliki,Bien,
Juman sutimax kunasa?,¿Cuál es tu nombre?,
Nayan sutijax Yanina Gisella Olarte Tarifawa,Mi nombre es Yanina Gisella Olarte tarifa,
Jumansti?,¿Y de ti?,
Nayan sutijax María Alejandra Mamani Corderuwa,Mi nombre es María Alejandra Mamani Corderu,
Jumax qawqha maranitasa?,¿Tú cuántos años tienes?,
Nayax pä tunka pusini maranitwa,Yo tengo 24 años,
Jumax Kawkitatasa?,¿Tú de dónde eres?,
Nayax Tarijatatwa,Yo soy de Tarija,
Jumasti?,¿Y tú?,
Nayax La Paztatwa,Yo soy de La Paz,
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,
Nayax jakhuritwa,Yo soy contadora,
Jumax qawqha jilanitasa?,¿Tú cuantos hermanos tienes?,
Nayax mä jilanitwa,Yo tengo un hermano,
Jilaman sutipax kunasa?,¿Cuál es su nombre de tu hermano?,
Jilajansutipax Marcelowa,Su nombre de mi hermano es Marcelo,
Akax kunasa?,¿Qué es esto?,
Ukax pankawa,Eso es libro,
Akax khitinkisa?,¿Esto de quién es?,
Ukax jumankiwa,Eso es tuyo,
Kawkirus sarañani?,¿Dónde vamos a ir?,
Qhaturu,A la feria,
Jumax uywanitati?,¿Tú tienes animales?,
"Jisa, mä anunitwa","Sí, tengo un perro",
Kawkinkis anumaxa?,¿Dónde está tu perro?,
Anujax utajankaskiwa,Mi perro está en mi casa,
Anumaxa kuna saminisa?,¿De qué color es tu perro?,
Kuna maranktansa?,¿En qué año estamos?,
Pä waranqa  pätunka mayani maranktanwa,Estamos en el año 2021,
Kuna phaxsinktansa?,¿En qué mes estamos?,
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,
Jichhurux kuna urusa?,¿Hoy que día es?,
Jichhurux ñanqha uruwa,Hoy es viernes,
Jurpurux kuna urunisa?,¿Pasado mañana que día será?,
Jurpurux inti uruniwa,Pasado mañana será domingo,
kuna pachasa?,¿Qué hora es?,
Suxta alwat tunka phisqh,Son las 6:15 de la mañana,
Akax kuna juyrasa?,¿Esto qué alimento es?,
Juphawa,Es quinua,
Akax tunquti?,¿Esto es choclo?,
"Janiwa, ukax jawasawa","No, eso es haba",
Apillanisktati?,¿Todavía tienes oca?,
"Jisa, apillanisktwa","Sí, todavía tengo oca",
Kuna manq’s munta?,¿Qué comida quieres?,
Nayax kaltu muntha,Yo quiero sopa,
Jumasti?,¿Y tú?,
Nayax saxta muntha,Yo quiero sajta,
Kunampis phayaña?,¿Con que hay que cocinar?,
"Ispi challwampi, tuqumpi, ch’uqimpi, wayk’ampiwa phayaña","Con ispi (pescado), maíz, papa y con ají hay que cocinar",
Ispi kunjamas phayaña?,¿Cómo hay que cocinar el ispi?,
"Ispi challwax thixiñawa, tunqumpi ch’uqimpix qhathiyañawa","Hay que fritar el ispi, el maíz y la papa hay que hacer cocer",
Kuna laq’usa?,¿Qué insecto es?,
Ukax tamuyarawa,Eso es abeja,
Kayut ustam?,¿Te duele el pie?,
"Janiwa, purakaw usutu","No, me duele el estomago",
Kunachaqas ustam?,¿Qué parte te duele?,
Aqachaqaw usutu,Esta parte me duele,
Kunarsats ustam?,¿Desde cuándo te duele?,
Chharmanthita,Desde esta mañana,
Waliti ustam?,¿Te duele mucho?,
"Jisa, waliw usutu","Sí, me duele mucho",
Kunats ustam?,¿Por qué te duele?,
Manq’asina,Por comer,
Khitiraki?,¿Quién es?,
Tatajawa,Es mi papá,
Jupasti?,¿Y él?,
Jupax awichajawa,Ella es mi abuela,
Jikisiñkama kullaka,Hasta luego hermana,
Jikisiñkamay kullaka,Hasta luego hermana,
Aski urukïpan kullaka,Buen día hermana,
Aski urukïpanay kullaka,Buen día hermana,
Kamisaki kullakita,¿Cómo estás hermanita?,
Waliki kullaka,Bien hermanita,
Jichhurux kuna urusa?,¿Qué día es hoy?,
Jichhurux pacha uruwa,Hoy es miércoles,
Kuna Pachasa?,¿Qué hora es?,
Llatünka allwa pachawa,Son las 9:00 de la mañana,
Juman Sutimax Kunasa?,¿Cuál es tu nombre?,
Nayax Sutijax Carolawa,Mi nombre es Carol,
Jumansti?,¿Y de ti?,
Nayax Sutijax Mariwa,Yo me llamo Maria,
Jumax qawqha maranitasa kullaka Carola?,¿Cuántos años tienes hermana Carol?,
Nayax Pusi tunka maranitwa,Yo tengo 40 años,
Jumasti?,¿Y tú?,
Nayax Pätunka suxtani maranitwa,Yo tengo 26 años,
Kawkitatasa kullakita?,¿De dónde eres hermana?,
Nayax Altu Patatatwa,Yo soy de El Alto,
Jumax kuna luriritasa?,¿Tú a qué te dedicas?,
Nayax yatiqiritwa,Yo soy estudiante,
Jumasti kullakita?,¿Y tú hermanita?,
Nayax yatichiritwa,Yo soy profesora,
Kuna phaxsinsa yuritäta?,¿En qué mes habías nacido?,
Achuqa phaxsina,En el mes de marzo,
Qawqha jilanitasa kullaka?,¿Cuántos hermanos tienes hermana?,
Nayax phisqa jilanitwa,Yo tengo 5 hermanos,
Jumasti?,¿Y tú?,
Janiw utjkituti,No tengo,
Khitis tatamaxa?,¿Quién es tu papá?,
Tatajax Francisco Figuerowawa,Mi papá es Francisco Figueroa,
Tatamax qawqha maranisa?,¿Tu papá cuántos años tiene?,
Tatajax Paqallq tunka maraniwa,Mi papá tiene 70 años,
Qawqha anunitasa?,¿Cuántos perros tienes?,
Mä anunitwa,Tengo un perro,
Anumax kuna saminisa?,¿De qué color es tu perro?,
Anujax Janq’u saminiwa,Mi perro es de color blanco,
Kuna manq’s phayäta?,¿Qué comida cocinarás?,
Nayax saxta phayä,Yo cocinaré sajta,
P’iqiw usutu,Me duele la cabeza,
Kunarsats ustam?,¿Desde cuándo te duele?,
Chharmanthita,Desde esta mañana,
Jurpürkam kullakita,Hasta pasado mañana hermanita,
Jurpürkamay kullakita,Hasta pasado mañana hermanita,
Aski arumakïpan Kullaka,Buenas noches hermana,
Aski arumakïpanay Kullaka,Buenas noches hermana,
Kunas juman phuqhat sutimax Kullaka?,¿Cuál es tu nombre completo hermana?,
Nayan phuqha sutijax María Luisa Illanes Quispe. Jumansti kullaka?,"Mi nombre completo es Maria Luisa Illanes Quispe, ¿y el tuyo hermana?",
Nayan phuqhat sutijax Doris Herminia Mollo Calle,Mi nombre completo es Doris Herminia Mollo Calle,
Qhawqha kullakanitasa kullaka María?,¿Cuántas hermanas tienes hermana Maria?,
"Nayax suxta kullakanitwa, Jumasti qhawqha jilanitasa Kullaka Doris","Yo tengo 6 hermanas, ¿y tú cuántos hermanos tienes hermana Doris?",
Nayax kimsa jilanitwa,Yo tengo 3 hermanos,
Kullaka Doris kunas ustam,¿Hermana Doris qué te duele?,
Nayarux p’iqiw usutu,A mí me duele mi cabeza,
Kunjamas ustum,¿Cómo te duele?,
Sintiw usutu kullaka María,Me duele mucha hermana Maria,
Qullasintaw kullaka Doris,Te vas a curar hermana Doris,
Kullaka María jach’a ch’uqinaka apaniraqitata,Hermana Maria grandes papas me lo vas a traer,
Jisa jach’a yari ch’uqinaka apanirapimawa,"Sí, grandes papas te lo voy a traer",
Ukax kuna juyrasa kullaka María?,¿Eso qué alimento es hermana Maria?,
Akax tunqu juyrawa kullaka Doris,Esto es maíz hermana Doris,
Qhawqha uywanitasa kullaka María,¿Cuántos animales tienes hermana Maria?,
"Nayax tunka ch’iyara anunitwa Kullaka Doris, Jumasti? kuna uywanitasa","Yo tengo 10 perros negros hermana Doris, ¿y tú cuántos animales tienes?",
Nayax tunka pusini qawranitwa,Yo tengo 14 llamas,
Kunapachasa jikisiñani Kullaka Doris,¿Cuándo nos vamos a encontrar hermana Doris?,
Jurpuruw jikisiñani kullaka María,Pasado mañana nos encontraremos hermana Maria,
Kuna phaxsinsa ch’uqinaka satañani kullaka Doris,En que mes vamos a sembrar papa hermana Doris,
Sata phaxsina satañani kullaka María,En el mes de septiembre vamos a sembrar hermana Maria,
Kuna urus jikisiñani kullaka Doris,Que día nos vamos a encontrar hermana Doris,
Illapa urun jikisiñani kullaka María,El día jueves nos encontraremos hermana Maria,
Kuna pachasa jikisiñani kullaka Doris,¿A qué hora nos encontraremos hermana Doris?,
Päqallqu alwa pachaw jikisiñani kullaka Maria,A las 07:00 de la mañana nos encontraremos hermana Maria,
Jikisiñkam kullaka Doris,Hasta luego hermana Doris,
Jikisiñkamay kullaka María,Hasta luego hermana Maria,
Aski Urukïpan kullaka,Buen día hermana,
Aski urukïpanay kullaka,Buen día hermana,
