AIMARA,ESPAÑOL,INGLES
Aski urukïpan kullaka,Buen día hermana,good day sister
Aski urukïpanay kullaka,Buen día hermana,good day sister
Kamisaki?,¿Cómo estás?,How are you?
Waliki,Bien,I'm fine
Juman sutimax kunasa?,¿Cuál es tu nombre?,What is your name?
Nayan sutijax Yanina Gisella Olarte Tarifawa,Mi nombre es Yanina Gisella Olarte tarifa,My name is Yanina Gisella Olarte rate
Jumansti?,¿Y de ti?,and yours?
Nayan sutijax María Alejandra Mamani Corderuwa,Mi nombre es María Alejandra Mamani Corderu,My name is Maria Alejandra Mamani Corderu
Jumax qawqha maranitasa?,¿Tú cuántos años tienes?,How old are you?
Nayax pä tunka pusini maranitwa,Yo tengo 24 años,I'm 24 years old
Jumax Kawkitatasa?,¿Tú de dónde eres?,Where are you from?
Nayax Tarijatatwa,Yo soy de Tarija,I am from Tarija
Jumasti?,¿Y tú?,And you?
Nayax La Paztatwa,Yo soy de La Paz,I am from La Paz
Jumax kuna luriritasa?,¿Cuál es tu ocupación?,What is your occupation?
Nayax jakhuritwa,Yo soy contadora,I am an accountant
Jumax qawqha jilanitasa?,¿Tú cuantos hermanos tienes?,How many siblings do you have?
Nayax mä jilanitwa,Yo tengo un hermano,I have a brother
Jilaman sutipax kunasa?,¿Cuál es su nombre de tu hermano?,What is your brother's name?
Jilajansutipax Marcelowa,Su nombre de mi hermano es Marcelo,His name of my brother is Marcelo
Akax kunasa?,¿Qué es esto?,What's this?
Ukax pankawa,Eso es libro,that's book
Akax khitinkisa?,¿Esto de quién es?,Whose is this?
Ukax jumankiwa,Eso es tuyo,That is yours
Kawkirus sarañani?,¿Dónde vamos a ir?,Where are we going?
Qhaturu,A la feria,To the fair
Jumax uywanitati?,¿Tú tienes animales?,Do you have animals?
"Jisa, mä anunitwa","Sí, tengo un perro","Yes, I have a dog"
Kawkinkis anumaxa?,¿Dónde está tu perro?,Where is your dog?
Anujax utajankaskiwa,Mi perro está en mi casa,my dog ​​is in my house
Anumaxa kuna saminisa?,¿De qué color es tu perro?,What color is your dog?
Kuna maranktansa?,¿En qué año estamos?,What year are we in?
Pä waranqa pätunka mayani maranktanwa,Estamos en el año 2021,We are in the year 2021
Kuna phaxsinktansa?,¿En qué mes estamos?,What are we up to?
Taypi sata phaxsinktanwa,Estamos en el mes de octubre,We are in the month of October
Jichhurux kuna urusa?,¿Hoy que día es?,What day is it today?
Jichhurux ñanqha uruwa,Hoy es viernes,Today is Friday
Jurpurux kuna urunisa?,¿Pasado mañana que día será?,What day will it be the day after tomorrow?
Jurpurux inti uruniwa,Pasado mañana será domingo,The day after tomorrow will be Sunday
kuna pachasa?,¿Qué hora es?,What time is it?
Suxta alwat tunka phisqh,Son las 6:15 de la mañana,It's 6:15 in the morning
Akax kuna juyrasa?,¿Esto qué alimento es?,What food is this?
Juphawa,Es quinua,it's quinoa
Akax tunquti?,¿Esto es choclo?,Is this chocolate?
"Janiwa, ukax jawasawa","No, eso es haba","No, that's bean"
Apillanisktati?,¿Todavía tienes oca?,Do you still have goose?
"Jisa, apillanisktwa","Sí, todavía tengo oca","Yes, I still have goose"
Kuna manq’s munta?,¿Qué comida quieres?,What food do you want?
Nayax kaltu muntha,Yo quiero sopa,I want soup
Jumasti?,¿Y tú?,And you?
Nayax saxta muntha,Yo quiero sajta,I want sajta
Kunampis phayaña?,¿Con que hay que cocinar?,What to cook with?
"Ispi challwampi, tuqumpi, ch’uqimpi, wayk’ampiwa phayaña","Con ispi (pescado), maíz, papa y con ají hay que cocinar","With ispi (fish), corn, potato and with chili you have to cook"
Ispi kunjamas phayaña?,¿Cómo hay que cocinar el ispi?,How should I cook the ispi?
"Ispi challwax thixiñawa, tunqumpi ch’uqimpix qhathiyañawa","Hay que fritar el ispi, el maíz y la papa hay que hacer cocer","You have to fry the ispi, the corn and the potato you have to cook"
Kuna laq’usa?,¿Qué insecto es?,What insect is it?
Ukax tamuyarawa,Eso es abeja,that's bee
Kayut ustam?,¿Te duele el pie?,Does your foot hurt?
"Janiwa, purakaw usutu","No, me duele el estomago","No, my stomach hurts"
Kunachaqas ustam?,¿Qué parte te duele?,What part hurts?
Aqachaqaw usutu,Esta parte me duele,this part hurts
Kunarsats ustam?,¿Desde cuándo te duele?,Since when does it hurt?
Chharmanthita,Desde esta mañana,since this morning
Waliti ustam?,¿Te duele mucho?,Does it hurt a lot?
"Jisa, waliw usutu","Sí, me duele mucho",If it really hurts
Kunats ustam?,¿Por qué te duele?,Why does it hurt?
Manq’asina,Por comer,To eat
Khitiraki?,¿Quién es?,Whom?
Tatajawa,Es mi papá,Is my dad
